,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Qaanaaq,0,GL,1541272466,100,77.48,-69.36,1.64,9.26
1,Torbay,90,CA,1541269380,100,47.66,-52.73,42.8,12.75
2,Pevek,76,RU,1541272468,100,69.7,170.27,10.37,7.74
3,Lompoc,1,US,1541271360,20,34.64,-120.46,86.0,13.87
4,Port Alfred,12,ZA,1541272474,66,-33.59,26.89,72.88,20.56
5,Castro,92,CL,1541272546,97,-42.48,-73.76,51.5,18.7
6,Hilo,75,US,1541267760,84,19.71,-155.08,71.96,5.82
7,Playa del Carmen,90,MX,1541267280,94,20.63,-87.08,77.0,11.41
8,Victoria,75,BN,1541269800,100,5.28,115.24,78.8,4.23
9,Almaznyy,20,RU,1541272482,79,48.03,40.04,41.56,8.81
10,Busselton,0,AU,1541272483,100,-33.64,115.35,57.44,12.77
11,Hermanus,88,ZA,1541272484,40,-34.42,19.24,67.79,2.48
12,Vestmannaeyjar,75,IS,1541268000,93,63.44,-20.27,37.4,9.17
13,Hithadhoo,76,MV,1541272486,100,-0.6,73.08,81.88,4.79
14,Punta Arenas,0,CL,1541268000,66,-53.16,-70.91,51.8,11.41
15,Rikitea,76,PF,1541272489,98,-23.12,-134.97,74.05,18.66
16,Bethel,1,US,1541271180,84,60.79,-161.76,21.92,10.29
17,Ushuaia,75,AR,1541271600,44,-54.81,-68.31,59.0,21.92
18,Bluff,0,AU,1541272492,93,-23.58,149.07,64.55,5.91
19,Saint-Georges,92,CA,1541272494,95,46.12,-70.67,46.96,4.0
20,Imbituba,75,BR,1541270400,100,-28.24,-48.67,69.8,12.75
21,Arraial do Cabo,0,BR,1541271600,69,-22.97,-42.02,82.4,18.34
22,Cuamba,12,MZ,1541272497,55,-14.8,36.54,76.79,12.33
23,Atuona,80,PF,1541272498,100,-9.8,-139.03,80.3,12.17
24,Longyearbyen,20,NO,1541267400,68,78.22,15.63,24.8,26.4
25,Salvador,20,BR,1541271600,70,-12.98,-38.48,84.2,14.99
26,Georgetown,75,GY,1541268000,79,6.8,-58.16,84.2,4.7
